name,address,website,tel,rateings
The Honeybee Bakery,"48 Station Rd, Glasgow, G62 8AB",/customerneeds/sendenquiry/sendtoone/100040482654000080?searchedLocation=Glasgow,0141 611 1163,5.0
Fame Glasgow Ltd,"127 Hope St, Glasgow, G2 6PE",,0141 258 3838,5.0
Caffe Nero,"106 Union St, Glasgow, G1 3QW",http://www.caffenero.com,0141 248 1960,5.0
Costa Coffee,"Lower Ground Level, Buchanan Galleries, Glasgow, G1 2GF",http://www.costa.co.uk,0141 332 8930,4.0
The Willow Tea Rooms,"97 Buchanan St, Glasgow, G2 3EX",http://www.rmghotels.com,0141 204 5242,5.0
Unity Spoon,"46 Trongate, Glasgow, G1 5ES",http://www.spooncommunity.co.uk,0141 559 5515,5.0
Kimble's,"Unit 335 St Enoch Centre, 55, St Enoch Square, Glasgow, G1 4BW",,0141 611 2280,4.0
Greggs,"64 Gordon St, Glasgow, G1 3RS",https://www.greggs.co.uk,0141 204 2101,4.0
Bunteas,"138 Saltmarket, Townhead, GLASGOW, G1 5LB",,0141 552 3619,5.0
The Tinder Box,"Mcintyre Hogg Building, Unit 4 Ingram St, Glasgow, G1 1EJ",https://tinderboxespresso.com/espresso-bars/,0141 552 6907,4.0
Where the Monkey Sleeps,"182 West Regent St, Glasgow, G2 4RU",http://www.monkeysleeps.com,0141 226 3406,4.7
AL Sham Nights Cafe,"213 Gallowgate, Townhead, GLASGOW, G1 5DX",,,5.0
Cranberrys Cafe,"30 Wilson St, Glasgow, G1 1SS",,0141 552 3676,4.5
Up on the Hill,"Craighall Business Park 2b, Eagle St, Glasgow, G4 9XA",,0141 333 0303,5.0
Ottoman Coffeehouse,"73 Berkeley St, Glasgow, G3 7DX",http://www.ottomancoffeehouse.co.uk,07768 312417,5.0
Cafe La Padella,"124 Woodlands Rd, Glasgow, G3 6HB",,0141 332 6104,5.0
St Mungo Museum Of Religious Life & Art,"2 Castle St, Glasgow, G4 0RH",http://www.glasgowmuseums.com,0141 276 1625,4.3
The Coffee Pod,"40-42 Woodlands Rd, Glasgow, G3 6UR",http://www.beanscene.com,0141 352 9800,4.0
Caffe Nero,"Unit 4, Level 3 Buchanan Galleries, Glasgow, G2 3GF",http://www.caffenero.com,0141 332 0385,none
Starbucks Coffee Co (Uk) Ltd,"Unit 15 1st floor, Buchanan Galleries Buchanan St, Glasgow, G1 3JN",http://www.starbucks.co.uk,0141 333 9187,none
AMPM,"Buchanan Bus Station, Killermont St, Glasgow, G2 3NW",,0141 258 5356,2.6
Greggs,"U3 Buchanan Business Station, 16 Killermont St, Glasgow, G2 3NW",https://www.greggs.co.uk,0141 332 2363,none
AMT Coffee Ltd,"Queen Street Railway Station, Dundas St, Glasgow, G1 2AF",http://www.amtcoffee.co.uk,0141 353 0565,none
Learning Cafe,"Cowcaddens Road, Cowcaddens, GLASGOW, G4 0BA",,,none
Greggs,"162-164 Buchanan St, Glasgow, G1 2LW",https://www.greggs.co.uk,0141 332 9542,none
Pret a Manger,"34 Sauchiehall St, Glasgow, G2 3AH",https://locations.pret.co.uk/glasgow/34-sauchiehall-street,0141 333 9647,none
Coffee Republic,"7 Renfrew Street, GLASGOW, G2 3AB",http://www.coffeerepublic.co.uk,0141 353 2898,none
Starbucks Coffee Co (UK) Ltd,"27 Sauchiehall St, Glasgow, G2 3AT",http://www.starbucks.co.uk,0141 332 7852,none
Laboratorio Espresso,"93 West Nile Street, GLASGOW, G1 2PR",,0141 353 1111,none
Coffee Republic,"75 West Nile St, Glasgow, G1 2SH",https://coffeerepublic.co.uk,0141 332 0080,none
Cafe Roots,"Cowcaddens Road, Cowcaddens, GLASGOW, G4 0BA",,,none
The Wild Olive Tree,"163 Buchanan St, Glasgow, G1 2JX",http://www.wildolivetree.co.uk,0141 248 2049,none
Caffe Nero,"1a Dundas St, Glasgow, G1 2AH",http://www.caffenero.com,0141 353 2229,none
Tinderbox (Scotland) Ltd,"185 Buchanan St, Glasgow, G1 2JZ",,0141 353 3833,none
Cafe Wander,"110 West George St, Glasgow, G2 1QJ",http://www.cafewander.com,0141 353 3968,none
Food Fillas on the Corner Ltd,"87 Renfield St, Glasgow, G2 1LP",,0141 353 1911,none
Cafe Select,"Buchanan Street, GLASGOW, G1 2GF",,0141 354 0092,none
City Patio,"53 West Nile Street, GLASGOW, G1 2QB",,0141 248 6639,none
Costa Coffee,"within Virgin Megatstores, Buchanan St, Glasgow, G62 8DZ",http://www.costa.co.uk,0141 332 8809,none
Costa,"44 George Square, GLASGOW, G2 1DS",http://www.costa.co.uk,,none
Fuel Juice Bar,"Buchanan Street, GLASGOW, G1 2FF",http://www.fueljuicebars.com,0141 332 3652,none
Starbucks Coffee Co (UK) Ltd,"Glasgow West Nile St, 58 Nelson Mandela Square, Glasgow, G1 2NP",http://www.starbucks.co.uk,0141 221 0302,none
Cafe Chique,"140 Sauchiehall Street, GLASGOW, G2 3DH",,0141 332 9495,none
Costa Coffee,"Unit 1 George House, 50 George Square, Glasgow, G2 1EH",http://www.costa.co.uk,0141 552 0448,none
Costa Coffee,"Royal Exchange Square, Glasgow, G1 3AB",http://www.costa.co.uk,0141 229 0773,3.0
Cafe Chique,"140 Sauchiehall Street, Glasgow, G2 3DH",,0141 332 9495,none
Greggs,"28 West Nile St, Glasgow, G1 2PF",https://www.greggs.co.uk,0141 221 6224,none
Chatime,"131 Sauchiehall St, Glasgow, G2 3EW",,07986 008021,none
Starbucks Coffee Co (UK) Ltd,"136-140 Buchanan St, Glasgow, G1 2JA",http://www.starbucks.co.uk,0141 221 8348,none
Patisserie Valerie,"West Nile St, Glasgow, G1 2PS",http://www.patisserie-valerie.co.uk/glasgow-west-nile.aspx,0141 204 3807,none
Pret a Manger,"144-146 Queen St, Glasgow, G1 3BS",https://www.pret.co.uk,0141 221 7602,none
Greggs,"13 George Square, Glasgow, G2 1DY",https://www.greggs.co.uk,0141 221 0950,none
Riverhill,"24 Gordon St, Glasgow, G1 3PU",,0141 204 4762,none
John Lewis Espresso Bar,"Buchanan Street, GLASGOW, G1 2FF",http://www.johnlewis.com,0844 693 1741,none
Pret,"104 St Vincent St, Glasgow, G2 5UB",https://www.pret.co.uk/en-GB,020 7932 5315,none
La Sandwicherie,"59 Port Dundas Rd, Glasgow, G4 0HF",,0141 353 3853,none
Caffe Calla,"222 West George St, Glasgow, G2 2PQ",http://caffecalla.co.uk,0141 229 2222,none
Costa Coffee,"67 St. Vincent St, Glasgow, G2 5TF",http://www.costa.co.uk,0141 847 0710,none
Eat,"Unit 2 Buchanon Galleries, Glasgow, G2 3GF",http://www.eat.co.uk,0141 353 6584,none
Bj's Diner,"140 Sauchiehall Street, GLASGOW, G2 3DH",,0141 331 0212,none
Costa Coffee,"212 Sauchiehall St, Glasgow, G2 3EF",http://www.costa.co.uk,0141 352 9825,none
Cafe Bombon,"Buchanan Street, GLASGOW, G1 3JN",,0141 248 6257,none
Kcal Kitchen,"130 West Regent Street, GLASGOW, G2 2RQ",http://www.kcalkitchen.co.uk,,none
iCafe Management Ltd,"315-317 Sauchiehall St, Glasgow, G2 3HW",http://www.icafe.uk.com,0141 353 1553,none
Greggs,"Sauchiehall Centre, 197 Sauchiehall St, Glasgow, G2 3ER",https://www.greggs.co.uk,0141 353 2075,none
Caffe Nero,"Unit 3, 78, Queen St, Glasgow, G1 3DN",http://www.caffenero.com,0141 222 2450,none
Starbucks Coffee Co (UK) Ltd,"9 Exchange Place, Glasgow, G1 3AN",http://www.starbucks.co.uk,0141 881 9425,none
Hotel Chocolat Cafe,"42 Buchanan Street, Glasgow, G1 3JX",https://www.hotelchocolat.com/,0141 204 4193,none
Caffe Nero,"St Vincent Plaza, 319 St Vincent St, Glasgow, G2 6LL",http://www.caffenero.com,0141 249 9832,none
Cochrane Street Snack Bar Ltd,"51 Cochrane St, Glasgow, G1 1HL",http://www.facebook.com/theweeguys,0141 552 5338,none
Chapter House Cafe,"24-28 Bothwell Street, GLASGOW, G2 6NU",,,none
Singl-End Cafe,"265 Renfrew St, Glasgow, G3 6TT",http://www.thesingl-end.co.uk,0141 353 1277,none
Tinderbox Espresso Bar,"Unit 10-11 Princes Square 48, Buchanan St, Glasgow, G1 3JN",https://tinderboxespresso.com/espresso-bars/,0141 221 5557,none
Shakeaway,"26 Gordon Street, GLASGOW, G1 3PW",,0141 204 5459,none
Pret a Manger,"The Concourse, Unit 6 & 7, Gordon St, Glasgow, G1 3SL",https://www.pret.co.uk,0141 221 7331,none
The Project Cafe,"Fleming House, 134, Renfrew St, Glasgow, G3 6ST",http://www.theprojectcafe.co.uk,0141 332 9520,none
McDonald's Bakers,"71 Union St, Glasgow, G1 3TA",,0141 248 5090,3.5
Cranachan Ltd,"Princes Square Buchanan St, Glasgow, G1 3JN",http://www.cranachancafe.co.uk,0141 248 6257,none
Caffe Nero,"House Of Fraser 45 Buchanan St, Glasgow, G1 3HL",http://www.caffenero.com,0141 221 2411,none
The Willow Tea Rooms,"217 Sauchiehall St, Glasgow, G2 3EX",http://www.mackintoshatthewillow.com,0141 332 0521,3.0
The Tea Rooms,"151 Bath St, Glasgow, G2 4SQ",http://www.thebutterflyandthepig.com,0141 243 2459,none
Caffe Nero,"207 Sauchiehall St, Glasgow, G2 3EX",http://www.caffenero.com,0141 332 4590,none
The Bucket List,"65 Cambridge St, Glasgow, G3 6QX",,0141 261 2842,none
MAHD Ltd,"19 Kennedy Path, Glasgow, G4 0PP",,07477 488436,none
Greggs,"100 George St, Glasgow, G1 1RF",https://www.greggs.co.uk,0141 548 6796,none
Pret a Manger,"27 Gordon St, Glasgow, G1 3PL",https://www.pret.co.uk,01923 805285,none
Gordon Street Coffee,"Glasgow Central Station, 79 Gordon St, Glasgow, G1 3SL",http://www.gordonstcoffee.co.uk,0141 221 1367,none
Caffe Nero,"207 Sauchiehall St, Glasgow, G2 3EX",http://www.caffenero.com,0141 248 6895,none
Maragas Cafe,"65-67 Cambridge Street, Kelvingrove, GLASGOW, G3 6QX",,,none
The Bucket List Cafe,"59 Cambridge Street, Kelvingrove, GLASGOW, G3 6QX",,0141 261 2842,none
Starbucks,"Glasgow Central Station, 1 Gordon St, Glasgow, G1 3SL",https://www.starbucks.co.uk,0141 204 3497,none
Greggs,"19 Cambridge St, Glasgow, G2 3DX",https://www.greggs.co.uk,0141 332 4493,none
Azzurro Cafe & Desserts,"81 Cambridge Street, Kelvingrove, GLASGOW, G3 6RU",,0141 237 2202,none
Geek Retreat,"63 Union St, Glasgow, G1 3RB",http://www.geek-retreat.com,0141 611 8229,none
Cafe W,"174-176 Argyle Street, Glasgow, G2 8BT",https://www.waterstones.com,0141 248 4814,none
Starbucks Coffee,"Queen Street, GLASGOW, G1 2AG",http://www.starbucks.co.uk,0141 333 9419,none
Gulliver's,"59 Cambridge Street, Kelvingrove, GLASGOW, G3 6QX",,0141 230 3248,none
Deli Central,"50 Hope Street, GLASGOW, G2 6AE",,0141 240 3700,none
Tiffany's,"33 Glassford Street, GLASGOW, G1 1UG",,0141 548 1340,none
Piece,"14 Waterloo Street, GLASGOW, G2 6DB",,,none
Piece Cafe,"200 Albion Street, GLASGOW, G1 1RU",,,none
Greggs,"172 Argyle St, Glasgow, G2 8BU",https://www.greggs.co.uk,0141 221 0252,none
Spitfire Espresso,"127 Candleriggs, GLASGOW, G1 1NP",http://www.spitfireespresso.com,,none
Picnic,"103 Ingram Street, GLASGOW, G1 1DX",,,none
Tiffany's,"33 Glassford Street, Glasgow, G1 1UG",,0141548 1340,none
Caffe Nero,"207 Sauchiehall St, Glasgow, G2 3EX",http://www.caffenero.com,0141 222 2372,none
Wilson Street Pantry,"6 Wilson St, Glasgow, G1 1SS",http://www.wilsonstreetpantry.com,0141 552 0606,none
Delice de France,"Central Railway Station, Gordon St, Glasgow, G1 3PL",http://www.delicedefrance.co.uk,0141 229 1062,none
Starbucks,"33 Bothwell St, Glasgow, G2 6NL",https://www.starbucks.co.uk,0141 221 4461,none
Picnic,"103 Ingram Street, Glasgow, G1 1DX",,0141552 8788,none
Cup Tea Rooms,"43 Virginia Street, GLASGOW, G1 3JN",http://www.cuptearooms.co.uk,0141 553 2326,none
Tim Hortons,"96 George Street, GLASGOW, G1 1RF",http://www.timhortons.com/us/en/index.php,,none
Smile Cafe Central,"121 Douglas Street, GLASGOW, G2 4HF",,0141 387 8184,none
Starbucks Coffee Co (UK) Ltd,"St Enoch Centre, Glasgow, G1 4BW",http://www.starbucks.co.uk,0333 005 0449,none
Buff Low Cafe,"146 Bath Lane, Glasgow, G2 4RH",,0141328 4053,none
Cafe Milano,"58 West Campbell Street, Glasgow, G2 6PZ",,0141229 0130,none
Pret a Manger,"65-69 Bothwell St, Glasgow, G2 6TS",https://locations.pret.co.uk/glasgow/65-69-bothwell-street,0141 248 6335,none
Cup Glasgow Ltd,"Unit 4, 35, Virginia St, Glasgow, G1 1TN",http://www.cuptearooms.co.uk,0141 553 2326,none
Cafe Sono,"245 Argyle Street, GLASGOW, G2 8DL",,0141 221 3582,none
Costa Coffee,"Unit 4-5, Caledonia Centre, Central Station, Glasgow, G1 3SQ",http://www.costa.co.uk,0141 221 1471,none
Caffe Nero,"63 Argyle St Fermanagh, Glasgow, G2 8AH",http://www.caffenero.com,0141 221 0924,none
Costa At Debenhams,"Debenhams 97 Argyle St, Glasgow, G2 8AR",http://www.costa.co.uk,0141 847 0629,none
Caffe Nero,"The Ticket Office, St. Enoch's Square, Glasgow, G1 4BW",http://www.caffenero.com,0141 248 8838,none
Greggs,"U5-6 Level 2 Buchanan Galleries, Glasgow, G1 2GF",https://www.greggs.co.uk,0141 332 6614,none
Greggs,"55 St Enochs Square, Glasgow, G1 4BW",https://www.greggs.co.uk,0141 248 9284,none
Greggs,"279 Sauchiehall St, Glasgow, G2 3HQ",https://www.greggs.co.uk,0141 332 8983,none
Elazig Ltd,"Argyle Street, Glasgow, G2 8DL",,0141 221 3582,none
Amt Coffee,"Gordon Street, Glasgow, G1 3SQ",http://amtcoffee.co.uk/,020 8832 8630,none
Costa Coffee,"Unit 233 St. Enoch Centre 55, St. Enoch Square, Glasgow, G1 4BW",http://www.costa.co.uk,0141 248 6796,none
Caffe Nero,"63 Argyle Street, GLASGOW, G2 8AH",,0141 221 0924,none
Costa,"Gordon Street, Glasgow, G1 3SQ",https://www.costa.co.uk,0141 229 0771,none
Noah Branching Out Ltd,"86 Albion Street, Glasgow, G1 1NY",,0141552 3044,none
Patisserie Valerie,"Unit 26, Caledonia Centre Central Station, Glasgow, G1 3SQ",http://www.patisserie-valerie.co.uk,0141 204 3808,none
Zumo Juice Bar,"St Enoch Square, GLASGOW, G1 4BW",,,none
Jules,"328 Argyle St, Glasgow, G2 8LY",http://www.julescafe.co.uk,0141 248 1551,none
Deelicious Geelicious,"273 Sauchiehall Street, GLASGOW, G2 3HQ",,0141 353 3901,none
Cafe Cossachok,"10 King Street, Glasgow, G1 5QP",,0141553 0733,none
Cafe Napoli,"23 Stockwell Street, GLASGOW, G1 4RZ",,0141 378 1411,none
Triple Two Coffee,"23 Stockwell St, Glasgow, G1 4RZ",http://www.tripletwocoffee.com/ourlocations/glasgow/,0141 552 2014,none
The Chimney Cake Corporation,"85 High Street, Glasgow, G1 1NB",,0141 553 2487,none
College Lands Cafe,"220 High St, Glasgow, G4 0QW",,0141 287 9868,none
Where The Monkey Sleeps,"340 Argyle Street, Glasgow, G2 8LY",,0141 204 5260,none
Papercup,"274 High Street, Cowcaddens, GLASGOW, G4 0QT",http://www.papercupcoffee.co.uk,07719 454376,none
Caffe Nero,"Capella Atlantic Quay 60 York St, Glasgow, G2 8JX",http://www.caffenero.com,0141 221 2735,none
Purrple Cat Cafe,"2 Trongate, Glasgow, G1 5ES",http://www.purrplecatcafe.com,0141 552 6429,none
Primal Roast Ltd,"278 St Vincent St, Glasgow, G2 5RL",http://www.278coffeehouse.co.uk/home,0141 222 2750,none
All That is Coffee,"60 Osborne St, Glasgow, G1 5QH",http://www.allthatissolid.co.uk,0141 271 4777,none
Lettuce Eat Coffee Bar,"361 Argyle Street, Glasgow, G2 8LT",,0141221 3233,none
Coffee Republic plc,"310 St. Vincent Street, Glasgow, G2 5RG",https://www.coffeerepublic.co.uk,0141 248 5729,none
Tinderbox Expresso Bars,"114-116 Waterloo Street, GLASGOW, G2 7DN",https://tinderboxespresso.com/espresso-bars/,,none
Rose & Grants,"27 Trongate, Glasgow, G1 5EZ",http://www.roseandgrants.co.uk,0141 553 0501,none
Central Cafe,"27 Saltmarket, Glasgow, G1 5NA",,0141 552 1719,none
Trans Europe Cafe,"25 Parnie St, Glasgow, G1 5RJ",http://www.transeuropecafe.co.uk,0141 552 7999,none
Caffe Nero,"St. Vincent Street, Glasgow, G2 5RG",http://www.caffenero.com,0141 248 6895,none
Javajess,"52 Broomielaw, Glasgow, G1 4QN",,0141258 1511,none
The Criterion Cafe,"46 Gallowgate, Townhead, GLASGOW, G1 5AB",,0141 552 2567,none
Sneakers,"73-77 Trongate, Townhead, GLASGOW, G1 5HB",,0141 230 0683,none
Pie Pie,"50 Broomielaw, Glasgow, G1 4RJ",,0141 222 2764,none
McCune Smith,"3-5 Duke St, Glasgow, G4 0UL",http://www.mccunesmith.co.uk,0141 548 1114,none
Java Jess,"50 Broomielaw, GLASGOW, G1 4RJ",,0141 258 1511,none
Aikman's Cafe Bistro,"24 St. Andrews St, Glasgow, G1 5PD",,0141 552 9333,none
Wisdom Coffee,"Elmbank Gardens, GLASGOW, G2 4NQ",,0141 221 1995,none
Ti Tea Lounge Within Hilton Glasgow,"1 William Street, Glasgow, G3 8HT",,0141204 5506,none
Elmbank Express,"63 Elmbank St, Glasgow, G2 4PQ",,0141 333 1427,none
The Willows,"125 Bridgegate, Townhead, GLASGOW, G1 5HY",,07891 251963,none
Tinder Box,"22-26 Charing Cross Mansions, St Georges Road, Glasgow, G3 6UJ",,0141258 3540,none
Starbucks Coffee Co (UK) Ltd,"10 St Georges Rd, Charing Cross Mansions, Glasgow, G3 6UJ",http://www.starbucks.co.uk,0141 332 7852,none
Creative East End,"200 Gallowgate, Glasgow, G1 5DR",http://www.creativeeastend.com,0141 552 2501,none
Bocadillo Coffee Shop,"569 Sauchiehall St, Glasgow, G3 7PQ",http://www.bocadillo.co.uk,0141 221 0069,none
Coffee Time,"93-97 St Georges Road, Glasgow, G3 6JA",,0141237 4515,none
Soul Food Sisters,"202 Gallowgate, Townhead, GLASGOW, G1 5DS",,,none
The Pantry,"163 London Road, Townhead, GLASGOW, G1 5BX",,,none
Coffee Time,"93-97 St Georges Road, Kelvingrove, GLASGOW, G3 6JA",,0141 237 4515,none
The Mews,"99 Woodside Place Lane, Glasgow, G3 7RB",,0141 237 2981,none
Charing Cross Cafe,"531 Sauchiehall St, Glasgow, G3 7PQ",,0141 237 8320,none
